"future","rate","time"
"DEFI-PERP",-0.000193,"2020-06-25T21:00:00+00:00"
"DEFI-PERP",-0.00012,"2020-06-25T20:00:00+00:00"
"DEFI-PERP",-0.000127,"2020-06-25T19:00:00+00:00"
"DEFI-PERP",-0.000131,"2020-06-25T18:00:00+00:00"
"DEFI-PERP",-0.000123,"2020-06-25T17:00:00+00:00"
"DEFI-PERP",-0.000097,"2020-06-25T16:00:00+00:00"
"DEFI-PERP",-0.000124,"2020-06-25T15:00:00+00:00"
"DEFI-PERP",-0.000134,"2020-06-25T14:00:00+00:00"
"DEFI-PERP",-0.000126,"2020-06-25T13:00:00+00:00"
"DEFI-PERP",-0.00008,"2020-06-25T12:00:00+00:00"
"DEFI-PERP",-0.000087,"2020-06-25T11:00:00+00:00"
"DEFI-PERP",-0.000131,"2020-06-25T10:00:00+00:00"
"DEFI-PERP",-0.000165,"2020-06-25T09:00:00+00:00"
"DEFI-PERP",-0.00017,"2020-06-25T08:00:00+00:00"
"DEFI-PERP",-0.000183,"2020-06-25T07:00:00+00:00"
"DEFI-PERP",-0.000233,"2020-06-25T06:00:00+00:00"
"DEFI-PERP",-0.000247,"2020-06-25T05:00:00+00:00"
"DEFI-PERP",-0.000219,"2020-06-25T04:00:00+00:00"
"DEFI-PERP",-0.000166,"2020-06-25T03:00:00+00:00"
"DEFI-PERP",-0.000116,"2020-06-25T02:00:00+00:00"
"DEFI-PERP",-0.000145,"2020-06-25T01:00:00+00:00"
"DEFI-PERP",-0.000135,"2020-06-25T00:00:00+00:00"
"DEFI-PERP",-0.000211,"2020-06-24T23:00:00+00:00"
"DEFI-PERP",-0.000195,"2020-06-24T22:00:00+00:00"
"DEFI-PERP",-0.000235,"2020-06-24T21:00:00+00:00"
"DEFI-PERP",-0.00021,"2020-06-24T20:00:00+00:00"
"DEFI-PERP",-0.000226,"2020-06-24T19:00:00+00:00"
"DEFI-PERP",-0.000324,"2020-06-24T18:00:00+00:00"
"DEFI-PERP",-0.000233,"2020-06-24T17:00:00+00:00"
"DEFI-PERP",-0.000173,"2020-06-24T16:00:00+00:00"
"DEFI-PERP",-0.000039,"2020-06-24T15:00:00+00:00"
"DEFI-PERP",-0.000084,"2020-06-24T14:00:00+00:00"
"DEFI-PERP",-0.000117,"2020-06-24T13:00:00+00:00"
"DEFI-PERP",-0.000195,"2020-06-24T12:00:00+00:00"
"DEFI-PERP",0.000006,"2020-06-24T11:00:00+00:00"
"DEFI-PERP",-0.00011,"2020-06-24T10:00:00+00:00"
"DEFI-PERP",-0.000063,"2020-06-24T09:00:00+00:00"
"DEFI-PERP",-0.000048,"2020-06-24T08:00:00+00:00"
"DEFI-PERP",-0.000116,"2020-06-24T07:00:00+00:00"
"DEFI-PERP",-0.000174,"2020-06-24T06:00:00+00:00"
"DEFI-PERP",-0.000214,"2020-06-24T05:00:00+00:00"
"DEFI-PERP",-0.000302,"2020-06-24T04:00:00+00:00"
"DEFI-PERP",-0.000234,"2020-06-24T03:00:00+00:00"
"DEFI-PERP",-0.000299,"2020-06-24T02:00:00+00:00"
"DEFI-PERP",-0.000229,"2020-06-24T01:00:00+00:00"
"DEFI-PERP",-0.000184,"2020-06-24T00:00:00+00:00"
"DEFI-PERP",0.000035,"2020-06-23T23:00:00+00:00"
"DEFI-PERP",-0.000101,"2020-06-23T22:00:00+00:00"
"DEFI-PERP",-0.00012,"2020-06-23T21:00:00+00:00"
"DEFI-PERP",-0.000049,"2020-06-23T20:00:00+00:00"
"DEFI-PERP",-0.000118,"2020-06-23T19:00:00+00:00"
"DEFI-PERP",-0.000103,"2020-06-23T18:00:00+00:00"
"DEFI-PERP",-0.000171,"2020-06-23T17:00:00+00:00"
"DEFI-PERP",-0.000118,"2020-06-23T16:00:00+00:00"
"DEFI-PERP",-0.000321,"2020-06-23T15:00:00+00:00"
"DEFI-PERP",-0.000296,"2020-06-23T14:00:00+00:00"
"DEFI-PERP",-0.000297,"2020-06-23T13:00:00+00:00"
"DEFI-PERP",-0.000297,"2020-06-23T12:00:00+00:00"
"DEFI-PERP",-0.000314,"2020-06-23T11:00:00+00:00"
"DEFI-PERP",-0.000295,"2020-06-23T10:00:00+00:00"
"DEFI-PERP",-0.000185,"2020-06-23T09:00:00+00:00"
"DEFI-PERP",-0.000314,"2020-06-23T08:00:00+00:00"
"DEFI-PERP",-0.000476,"2020-06-23T07:00:00+00:00"
"DEFI-PERP",-0.000204,"2020-06-23T06:00:00+00:00"
"DEFI-PERP",-0.000319,"2020-06-23T05:00:00+00:00"
"DEFI-PERP",-0.000301,"2020-06-23T04:00:00+00:00"
"DEFI-PERP",-0.000325,"2020-06-23T03:00:00+00:00"
"DEFI-PERP",-0.000229,"2020-06-23T02:00:00+00:00"
"DEFI-PERP",-0.000107,"2020-06-23T01:00:00+00:00"
"DEFI-PERP",-0.000127,"2020-06-23T00:00:00+00:00"
"DEFI-PERP",-0.000155,"2020-06-22T23:00:00+00:00"
"DEFI-PERP",-0.000396,"2020-06-22T22:00:00+00:00"
"DEFI-PERP",-0.000396,"2020-06-22T21:00:00+00:00"
"DEFI-PERP",-0.000371,"2020-06-22T20:00:00+00:00"
"DEFI-PERP",-0.000439,"2020-06-22T19:00:00+00:00"
"DEFI-PERP",-0.00049,"2020-06-22T18:00:00+00:00"
"DEFI-PERP",-0.000524,"2020-06-22T17:00:00+00:00"
"DEFI-PERP",-0.000522,"2020-06-22T16:00:00+00:00"
"DEFI-PERP",-0.000478,"2020-06-22T15:00:00+00:00"
"DEFI-PERP",-0.000418,"2020-06-22T14:00:00+00:00"
"DEFI-PERP",-0.00045,"2020-06-22T13:00:00+00:00"
"DEFI-PERP",-0.000388,"2020-06-22T12:00:00+00:00"
"DEFI-PERP",-0.000289,"2020-06-22T11:00:00+00:00"
"DEFI-PERP",-0.00047,"2020-06-22T10:00:00+00:00"
"DEFI-PERP",-0.000329,"2020-06-22T09:00:00+00:00"
"DEFI-PERP",-0.000234,"2020-06-22T08:00:00+00:00"
"DEFI-PERP",-0.000394,"2020-06-22T07:00:00+00:00"
"DEFI-PERP",-0.000518,"2020-06-22T06:00:00+00:00"
"DEFI-PERP",-0.000381,"2020-06-22T05:00:00+00:00"
"DEFI-PERP",-0.000507,"2020-06-22T04:00:00+00:00"
"DEFI-PERP",-0.000262,"2020-06-22T03:00:00+00:00"
"DEFI-PERP",-0.000256,"2020-06-22T02:00:00+00:00"
"DEFI-PERP",-0.000369,"2020-06-22T01:00:00+00:00"
"DEFI-PERP",-0.000369,"2020-06-22T00:00:00+00:00"
"DEFI-PERP",-0.000379,"2020-06-21T23:00:00+00:00"
"DEFI-PERP",-0.000308,"2020-06-21T22:00:00+00:00"
"DEFI-PERP",-0.000355,"2020-06-21T21:00:00+00:00"
"DEFI-PERP",-0.000365,"2020-06-21T20:00:00+00:00"
"DEFI-PERP",-0.000177,"2020-06-21T19:00:00+00:00"
"DEFI-PERP",-0.000295,"2020-06-21T18:00:00+00:00"
"DEFI-PERP",-0.000032,"2020-06-21T17:00:00+00:00"
"DEFI-PERP",-0.000082,"2020-06-21T16:00:00+00:00"
"DEFI-PERP",0.000052,"2020-06-21T15:00:00+00:00"
"DEFI-PERP",-0.00025,"2020-06-21T14:00:00+00:00"
"DEFI-PERP",-0.000363,"2020-06-21T13:00:00+00:00"
"DEFI-PERP",-0.000262,"2020-06-21T12:00:00+00:00"
"DEFI-PERP",-0.000222,"2020-06-21T11:00:00+00:00"
"DEFI-PERP",-0.000171,"2020-06-21T10:00:00+00:00"
"DEFI-PERP",-0.000108,"2020-06-21T09:00:00+00:00"
"DEFI-PERP",-0.000132,"2020-06-21T08:00:00+00:00"
"DEFI-PERP",-0.000038,"2020-06-21T07:00:00+00:00"
"DEFI-PERP",-0.000184,"2020-06-21T06:00:00+00:00"
"DEFI-PERP",-0.000198,"2020-06-21T05:00:00+00:00"
"DEFI-PERP",0.000053,"2020-06-21T04:00:00+00:00"
"DEFI-PERP",-0.000079,"2020-06-21T03:00:00+00:00"
"DEFI-PERP",-0.000005,"2020-06-21T02:00:00+00:00"
"DEFI-PERP",0.000029,"2020-06-21T01:00:00+00:00"
"DEFI-PERP",-0.000099,"2020-06-21T00:00:00+00:00"
"DEFI-PERP",-0.000017,"2020-06-20T23:00:00+00:00"
"DEFI-PERP",0.000034,"2020-06-20T22:00:00+00:00"
"DEFI-PERP",-0.00024,"2020-06-20T21:00:00+00:00"
"DEFI-PERP",-0.000329,"2020-06-20T20:00:00+00:00"
"DEFI-PERP",-0.000219,"2020-06-20T19:00:00+00:00"
"DEFI-PERP",-0.000229,"2020-06-20T18:00:00+00:00"
"DEFI-PERP",-0.00021,"2020-06-20T17:00:00+00:00"
"DEFI-PERP",-0.000225,"2020-06-20T16:00:00+00:00"
"DEFI-PERP",-0.000098,"2020-06-20T15:00:00+00:00"
"DEFI-PERP",-0.000146,"2020-06-20T14:00:00+00:00"
"DEFI-PERP",-0.000158,"2020-06-20T13:00:00+00:00"
"DEFI-PERP",-0.000232,"2020-06-20T12:00:00+00:00"
"DEFI-PERP",-0.000375,"2020-06-20T11:00:00+00:00"
"DEFI-PERP",-0.000386,"2020-06-20T10:00:00+00:00"
"DEFI-PERP",-0.000352,"2020-06-20T09:00:00+00:00"
"DEFI-PERP",-0.000177,"2020-06-20T08:00:00+00:00"
"DEFI-PERP",-0.000495,"2020-06-20T07:00:00+00:00"
"DEFI-PERP",-0.000525,"2020-06-20T06:00:00+00:00"
"DEFI-PERP",-0.000491,"2020-06-20T05:00:00+00:00"
"DEFI-PERP",-0.000503,"2020-06-20T04:00:00+00:00"
"DEFI-PERP",-0.000534,"2020-06-20T03:00:00+00:00"
"DEFI-PERP",-0.000487,"2020-06-20T02:00:00+00:00"
"DEFI-PERP",-0.00046,"2020-06-20T01:00:00+00:00"
"DEFI-PERP",-0.000635,"2020-06-20T00:00:00+00:00"
"DEFI-PERP",-0.000652,"2020-06-19T23:00:00+00:00"
"DEFI-PERP",-0.000551,"2020-06-19T22:00:00+00:00"
"DEFI-PERP",-0.000511,"2020-06-19T21:00:00+00:00"
"DEFI-PERP",-0.000481,"2020-06-19T20:00:00+00:00"
"DEFI-PERP",-0.000532,"2020-06-19T19:00:00+00:00"
"DEFI-PERP",-0.000615,"2020-06-19T18:00:00+00:00"
"DEFI-PERP",-0.000637,"2020-06-19T17:00:00+00:00"
"DEFI-PERP",-0.000414,"2020-06-19T16:00:00+00:00"
"DEFI-PERP",-0.000201,"2020-06-19T15:00:00+00:00"
