"close","high","low","open","startTime","time","volume"
41220,41280,40391,40838,"2021-01-14T04:00:00+00:00",1610596800000,123525.6789
41327,41753,41111,41220,"2021-01-14T05:00:00+00:00",1610600400000,107016.1171
41666,41926,41262,41327,"2021-01-14T06:00:00+00:00",1610604000000,108856.1405
42169,42532,41553,41666,"2021-01-14T07:00:00+00:00",1610607600000,111216.3562
42257,42847,42169,42169,"2021-01-14T08:00:00+00:00",1610611200000,79446.2046
41847,42335,41761,42257,"2021-01-14T09:00:00+00:00",1610614800000,69814.481
42368,42416,41745,41920,"2021-01-14T10:00:00+00:00",1610618400000,55170.0207
42222,42514,41933,42368,"2021-01-14T11:00:00+00:00",1610622000000,53676.063
42032,42289,41469,42222,"2021-01-14T12:00:00+00:00",1610625600000,104725.3301
42916,42944,41971,42032,"2021-01-14T13:00:00+00:00",1610629200000,226511.4503
43690,43796,42796,42916,"2021-01-14T14:00:00+00:00",1610632800000,135827.395
43589,44224,43408,43690,"2021-01-14T15:00:00+00:00",1610636400000,114637.0192
43256,44081,43213,43594,"2021-01-14T16:00:00+00:00",1610640000000,83932.8056
43440,43916,43215,43260,"2021-01-14T17:00:00+00:00",1610643600000,57372.8766
43314,43615,43242,43440,"2021-01-14T18:00:00+00:00",1610647200000,23987.0496
43944,43988,43314,43314,"2021-01-14T19:00:00+00:00",1610650800000,79691.6686
43355,44007,43343,43944,"2021-01-14T20:00:00+00:00",1610654400000,28196.2045
42872,43436,42250,43355,"2021-01-14T21:00:00+00:00",1610658000000,180304.9859
43065,43179,42403,42856,"2021-01-14T22:00:00+00:00",1610661600000,118577.31
43195,43408,42760,43065,"2021-01-14T23:00:00+00:00",1610665200000,16398.597
43652,43936,43097,43195,"2021-01-15T00:00:00+00:00",1610668800000,91723.7811
43360,43867,43223,43652,"2021-01-15T01:00:00+00:00",1610672400000,72198.6881
43463,43690,42983,43360,"2021-01-15T02:00:00+00:00",1610676000000,78926.4437
42788,43532,42542,43463,"2021-01-15T03:00:00+00:00",1610679600000,108499.5078
42512,42869,42408,42788,"2021-01-15T04:00:00+00:00",1610683200000,147841.7837
41767,42916,41762,42512,"2021-01-15T05:00:00+00:00",1610686800000,59344.6978
41918,42003,41485,41767,"2021-01-15T06:00:00+00:00",1610690400000,31679.9039
42455,42455,41598,41918,"2021-01-15T07:00:00+00:00",1610694000000,91573.8038
42280,42676,42174,42451,"2021-01-15T08:00:00+00:00",1610697600000,77290.4438
42783,42803,41992,42280,"2021-01-15T09:00:00+00:00",1610701200000,53717.9261
42538,42868,42413,42783,"2021-01-15T10:00:00+00:00",1610704800000,10166.7016
42108,42620,41878,42538,"2021-01-15T11:00:00+00:00",1610708400000,127747.6255
41749,42189,41060,42108,"2021-01-15T12:00:00+00:00",1610712000000,367372.0515
41711,41894,41187,41749,"2021-01-15T13:00:00+00:00",1610715600000,27698.8409
40878,41843,40569,41721,"2021-01-15T14:00:00+00:00",1610719200000,117039.6675
39365,40884,39021,40878,"2021-01-15T15:00:00+00:00",1610722800000,259506.823
39650,39919,38021,39354,"2021-01-15T16:00:00+00:00",1610726400000,155284.4893
39595,39650,38862,39650,"2021-01-15T17:00:00+00:00",1610730000000,253408.2998
39060,39883,38501,39595,"2021-01-15T18:00:00+00:00",1610733600000,1490621.867
38817,39546,38607,39060,"2021-01-15T19:00:00+00:00",1610737200000,151307.8153
39072,39234,38449,38817,"2021-01-15T20:00:00+00:00",1610740800000,1307925.3484
39415,39658,38987,39072,"2021-01-15T21:00:00+00:00",1610744400000,134258.7823
39633,39961,39191,39415,"2021-01-15T22:00:00+00:00",1610748000000,1107285.5202
39804,39960,39542,39633,"2021-01-15T23:00:00+00:00",1610751600000,846289.9144
40189,40535,39804,39804,"2021-01-16T00:00:00+00:00",1610755200000,1928831.2488
40090,40639,39948,40189,"2021-01-16T01:00:00+00:00",1610758800000,1239654.6964
39578,40293,39403,40090,"2021-01-16T02:00:00+00:00",1610762400000,75929.7813
39859,39967,39417,39578,"2021-01-16T03:00:00+00:00",1610766000000,54544.2849
39816,40031,39514,39859,"2021-01-16T04:00:00+00:00",1610769600000,73259.0221
39355,39902,38971,39816,"2021-01-16T05:00:00+00:00",1610773200000,1446406.5823
39409,39653,39284,39355,"2021-01-16T06:00:00+00:00",1610776800000,198502.4641
39758,40048,39409,39409,"2021-01-16T07:00:00+00:00",1610780400000,39994.298
40378,40540,39493,39758,"2021-01-16T08:00:00+00:00",1610784000000,353270.972
