"close","high","low","open","startTime","time","volume"
555.7,557.745,549.46,549.555,"2020-11-28T18:00:00+00:00",1606586400000,1388.55151
558.11,559.23,551.8,555.7,"2020-11-28T19:00:00+00:00",1606590000000,1000.58757
554.18,561.34,553.06,558.11,"2020-11-28T20:00:00+00:00",1606593600000,25010.28644
556.37,557.37,553.46,554.18,"2020-11-28T21:00:00+00:00",1606597200000,0
554.28,560.95,553.61,556.37,"2020-11-28T22:00:00+00:00",1606600800000,0
549.4,557.55,546.08,554.28,"2020-11-28T23:00:00+00:00",1606604400000,40991.41594
549.26,550.94,541.97,549.4,"2020-11-29T00:00:00+00:00",1606608000000,59657.47167
546.03,549.5,542.14,549.26,"2020-11-29T01:00:00+00:00",1606611600000,0
551.74,552.51,543.38,546.03,"2020-11-29T02:00:00+00:00",1606615200000,0
555.16,556.05,551.13,551.74,"2020-11-29T03:00:00+00:00",1606618800000,11054.6
550.9,555.45,549.88,555.16,"2020-11-29T04:00:00+00:00",1606622400000,551.89
552.58,554.42,549.85,550.9,"2020-11-29T05:00:00+00:00",1606626000000,0
549.98,552.58,548.74,552.58,"2020-11-29T06:00:00+00:00",1606629600000,4999.69932
553.03,554.93,548.25,549.98,"2020-11-29T07:00:00+00:00",1606633200000,4232.49
563.39,564.44,552.09,553.03,"2020-11-29T08:00:00+00:00",1606636800000,0
562.96,566.19,559.02,563.39,"2020-11-29T09:00:00+00:00",1606640400000,0
567.82,569.63,560.44,562.96,"2020-11-29T10:00:00+00:00",1606644000000,5010.74042
563.4,571.97,560.38,567.82,"2020-11-29T11:00:00+00:00",1606647600000,10640.7531
563.39,565.81,559.1,563.4,"2020-11-29T12:00:00+00:00",1606651200000,0
567.21,567.21,562.77,563.39,"2020-11-29T13:00:00+00:00",1606654800000,108488.2
565.12,569.79,564.58,567.21,"2020-11-29T14:00:00+00:00",1606658400000,1733.62101
566.84,568.11,562.81,565.12,"2020-11-29T15:00:00+00:00",1606662000000,5662.2
566.42,570.06,561.25,566.84,"2020-11-29T16:00:00+00:00",1606665600000,11012.42291
566.39,569.65,564.89,566.42,"2020-11-29T17:00:00+00:00",1606669200000,24.36285
566.95,567.15,564.11,566.39,"2020-11-29T18:00:00+00:00",1606672800000,0
564.94,568.02,564.12,566.95,"2020-11-29T19:00:00+00:00",1606676400000,0
570.13,570.91,564.24,564.94,"2020-11-29T20:00:00+00:00",1606680000000,0
580.87,583.14,569.79,570.13,"2020-11-29T21:00:00+00:00",1606683600000,82444.95624
584.36,586.76,576.69,580.87,"2020-11-29T22:00:00+00:00",1606687200000,41246.57685
589.47,590.58,584.36,584.36,"2020-11-29T23:00:00+00:00",1606690800000,294.59
602.24,607.39,589.18,589.56,"2020-11-30T00:00:00+00:00",1606694400000,13153.84863
602.28,608.74,597.92,602.24,"2020-11-30T01:00:00+00:00",1606698000000,100446.59132
600.56,604.47,599.72,602.28,"2020-11-30T02:00:00+00:00",1606701600000,12310.6247
603.24,604.3,596.78,600.56,"2020-11-30T03:00:00+00:00",1606705200000,10349.66102
600.6,603.95,599.67,603.24,"2020-11-30T04:00:00+00:00",1606708800000,9173.43578
599,604.17,598.53,600.6,"2020-11-30T05:00:00+00:00",1606712400000,7886.85643
598.39,599.03,595.92,599,"2020-11-30T06:00:00+00:00",1606716000000,138470.59023
600.46,603.01,598.17,598.39,"2020-11-30T07:00:00+00:00",1606719600000,0
592.4,600.93,587.07,600.46,"2020-11-30T08:00:00+00:00",1606723200000,119461.92787
591.99,595.48,585.33,592.47,"2020-11-30T09:00:00+00:00",1606726800000,75899.90999
596.24,598.7,590.39,591.99,"2020-11-30T10:00:00+00:00",1606730400000,13715.30064
605,608.48,596.24,596.24,"2020-11-30T11:00:00+00:00",1606734000000,7874.7
612.42,613.1,605,605,"2020-11-30T12:00:00+00:00",1606737600000,195578.62568
619.94,623.47,607.13,612.42,"2020-11-30T13:00:00+00:00",1606741200000,24427.40056
623.87,636.12,616.22,619.94,"2020-11-30T14:00:00+00:00",1606744800000,59049.57314
